"comparison_group_id","comparison_set_name","showcase_id","showcase_name","baseline_module2_run_id","challenger_module2_run_id","baseline_strategy_set_name","baseline_strategy_name","baseline_strategy_version","challenger_strategy_set_name","challenger_strategy_name","challenger_strategy_version","module1_scenario_set_name","module1_scenario_name","population_id","expected_comparison_storyline","primary_metric_focus","active_comparison_flag","registry_active_flag","registry_created_ts","registry_updated_ts"
CG02,Baseline vs Growth Oriented,SC01,Baseline Strategy Frontier,M2-01,M2-03,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,MODULE2_BASELINE_STRATEGY_SET,GROWTH_ORIENTED_STRATEGY,V1_0,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,Growth expansion tradeoff.,offer exposure and approved amount growth,false,true,2026-05-19 23:12:23.799,2026-05-20 22:38:29.270
CG10,Near-Prime Baseline vs Tighter Risk,SC03,Credit Box Sensitivity,M2-16,M2-17,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,MODULE2_BASELINE_STRATEGY_SET,TIGHTER_SYNTHETIC_RISK_STRATEGY,V1_0,MODULE1_V2_CREDIT_BOX_SENSITIVITY_SET,NEAR_PRIME_EXPANSION_MIX,BASE_POPULATION_V1,Risk discipline under near-prime expansion.,approved EL reduction,false,true,2026-05-19 23:12:23.799,2026-05-20 22:38:29.270
CG11,Near-Prime Baseline vs Selective Counteroffer Feasibility,SC03,Credit Box Sensitivity,M2-16,M2-18,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,MODULE2_BASELINE_STRATEGY_SET,SELECTIVE_COUNTEROFFER_FEASIBILITY_STRATEGY,V1_0,MODULE1_V2_CREDIT_BOX_SENSITIVITY_SET,NEAR_PRIME_EXPANSION_MIX,BASE_POPULATION_V1,Selective counteroffer feasibility under near-prime expansion.,selective counteroffer feasibility and exposure reduction,false,true,2026-05-19 23:12:23.799,2026-05-20 22:38:29.270
CG12,Credit Stress Baseline vs Tighter Risk,SC03,Credit Box Sensitivity,M2-19,M2-20,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,MODULE2_BASELINE_STRATEGY_SET,TIGHTER_SYNTHETIC_RISK_STRATEGY,V1_0,MODULE1_V2_CREDIT_BOX_SENSITIVITY_SET,CREDIT_STRESS_SCORE_MIX,BASE_POPULATION_V1,Risk discipline under credit stress.,approved EL reduction under stress,false,true,2026-05-19 23:12:23.799,2026-05-20 22:38:29.270
CG13,Unsecured Growth Baseline vs Product Guardrails,SC04,Portfolio Mix Sensitivity,M2-22,M2-23,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,MODULE2_BASELINE_STRATEGY_SET,PRODUCT_SPECIFIC_GUARDRAIL_STRATEGY,V1_0,MODULE1_V2_PORTFOLIO_MIX_SENSITIVITY_SET,UNSECURED_GROWTH_MIX,BASE_POPULATION_V1,Product guardrails under unsecured growth.,unsecured approved EL reduction,false,true,2026-05-19 23:12:23.799,2026-05-20 22:38:29.270
CG14,Revolving Expansion Baseline vs Product Guardrails,SC04,Portfolio Mix Sensitivity,M2-25,M2-26,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,MODULE2_BASELINE_STRATEGY_SET,PRODUCT_SPECIFIC_GUARDRAIL_STRATEGY,V1_0,MODULE1_V2_PORTFOLIO_MIX_SENSITIVITY_SET,REVOLVING_LINE_EXPANSION_MIX,BASE_POPULATION_V1,Product guardrails under revolving expansion.,revolving approved EL reduction,false,true,2026-05-19 23:12:23.799,2026-05-20 22:38:29.270
CG01,Baseline vs Tighter Synthetic Risk,SC01,Baseline Strategy Frontier,M2-01,M2-02,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,MODULE2_BASELINE_STRATEGY_SET,TIGHTER_SYNTHETIC_RISK_STRATEGY,V1_0,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,Tighter synthetic-risk discipline.,approved Expected Loss reduction,false,true,2026-05-19 23:12:23.799,2026-05-20 22:38:29.270
CG03,Baseline vs Tighter Affordability,SC01,Baseline Strategy Frontier,M2-01,M2-04,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,MODULE2_BASELINE_STRATEGY_SET,TIGHTER_AFFORDABILITY_STRATEGY,V1_0,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,Affordability discipline tradeoff.,approved PTI discipline,false,true,2026-05-19 23:12:23.799,2026-05-20 22:38:29.270
CG15,High-Balance Baseline vs Selective Counteroffer Feasibility,SC05,Exposure Intensity Sensitivity,M2-28,M2-29,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,MODULE2_BASELINE_STRATEGY_SET,SELECTIVE_COUNTEROFFER_FEASIBILITY_STRATEGY,V1_0,MODULE1_V2_EXPOSURE_INTENSITY_SENSITIVITY_SET,HIGH_BALANCE_APPETITE,BASE_POPULATION_V1,Selective counteroffer feasibility under high-balance appetite.,selective counteroffer feasibility and exposure reduction,false,true,2026-05-19 23:12:23.799,2026-05-20 22:38:29.270
CG16,Unsecured Severity Baseline vs Product Guardrails,SC06,LGD Severity Sensitivity,M2-33,M2-34,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,MODULE2_BASELINE_STRATEGY_SET,PRODUCT_SPECIFIC_GUARDRAIL_STRATEGY,V1_0,MODULE1_V2_LGD_SEVERITY_SENSITIVITY_SET,UNSECURED_SEVERITY_STRESS,BASE_POPULATION_V1,Product guardrails under unsecured severity stress.,approved EL reduction under severity stress,false,true,2026-05-19 23:12:23.799,2026-05-20 22:38:29.270
